Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_ROS_CONTROLLER\Project Outputs for PCB_ROS_CONTROLLER\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       27/03/23
Time:       07:47
Revision:   db0428886aefd3fb840aec785741205a1bf62bf3
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U4","BMI088","BottomLayer","PQFN50P450X300X100-16N","575.000","1905.000","180","High-performance 6-axis inertial sensor (accelerometer + gyroscope) <a href="https://pricing.snapeda.com/parts/BMI088/Bosch%20Sensortec/view-part?ref=eda">Check prices</a>"
"C14","C 100nF 0603","BottomLayer","0603","3410.000","1425.000","180",""
"R40","R 1K5 0805","BottomLayer","0805","900.000","1695.000","180",""
"U3","LIS3MDLTR","BottomLayer","FP-VFLGA-12-8365767-MFG","340.000","2330.000","180","SENSOR MR I2C/SPI 12LGA"
"C17","C 100nF 0603","BottomLayer","0603","335.000","2140.000","0",""
"C16","C 1uF 0603","BottomLayer","0603","125.000","2320.000","90",""
"C15","C 100nF 0603","BottomLayer","0603","210.000","2320.000","90",""
"T4","PDTC114YT","BottomLayer","SOT-23","519.000","830.000","270",""
"T3","PDTC114YT","BottomLayer","SOT-23","519.000","670.000","270",""
"T2","PDTC114YT","BottomLayer","SOT-23","565.000","3245.000","270",""
"T1","PDTC114YT","BottomLayer","SOT-23","565.000","3480.000","270",""
"R43","R 120R 0805","BottomLayer","0805","1340.000","3700.000","180",""
"R42","R 120R 0805","BottomLayer","0805","1340.000","3835.000","180",""
"R39","R 1K5 0805","BottomLayer","0805","2630.000","1980.000","180",""
"R38","R 1K5 0805","BottomLayer","0805","2670.000","2120.000","180",""
"R37","R 33K 0805","BottomLayer","0805","3395.000","2790.000","180",""
"R36","R 10K 0805","BottomLayer","0805","3630.000","2790.000","180",""
"R33","R 33K 0805","BottomLayer","0805","3395.000","2582.000","180",""
"R32","R 10K 0805","BottomLayer","0805","3630.000","2582.000","180",""
"R29","R 33K 0805","BottomLayer","0805","3395.000","2374.000","180",""
"R28","R 10K 0805","BottomLayer","0805","3630.000","2374.000","180",""
"R23","R 33K 0805","BottomLayer","0805","3355.000","3584.003","180",""
"R22","R 10K 0805","BottomLayer","0805","3580.000","3584.000","180",""
"R19","R 33K 0805","BottomLayer","0805","3355.000","3372.008","180",""
"R18","R 10K 0805","BottomLayer","0805","3580.000","3372.000","180",""
"R17","R 33K 0805","BottomLayer","0805","3625.000","2920.000","270",""
"R15","R 33K 0805","BottomLayer","0805","3543.250","2963.250","270",""
"R14","R 10K 0805","BottomLayer","0805","3580.000","3160.000","180",""
"R13","R 10K 0805","BottomLayer","0805","2205.000","3490.000","90",""
"R12","R 10K 0805","BottomLayer","0805","2060.000","3490.000","270",""
"R11","R 10K 0805","BottomLayer","0805","1955.000","400.000","270",""
"R10","R 10K 0805","BottomLayer","0805","2565.000","540.000","180",""
"R9","R 60R4 0805","BottomLayer","0805","330.000","3685.000","180",""
"R8","R 60R4 0805","BottomLayer","0805","330.000","3485.000","180",""
"R7","R 60R4 0805","BottomLayer","0805","330.000","3315.000","180",""
"R6","R 60R4 0805","BottomLayer","0805","330.000","3085.000","180",""
"R5","R 60R4 0805","BottomLayer","0805","285.000","440.000","180",""
"R4","R 60R4 0805","BottomLayer","0805","285.000","255.000","180",""
"R3","R 60R4 0805","BottomLayer","0805","285.000","925.000","180",""
"R2","R 60R4 0805","BottomLayer","0805","285.000","735.000","180",""
"R1","R 10K 0805","BottomLayer","0805","2450.000","960.000","90",""
"C12","C 10uF 0603","BottomLayer","0603","1905.000","2040.000","0",""
"C11","C 10uF 0603","BottomLayer","0603","1505.000","2500.000","270",""
"C10","C 10uF 0603","BottomLayer","0603","2130.000","1400.000","90",""
"C9","C 10uF 0603","BottomLayer","0603","1505.000","2365.000","90",""
"C6","C 100nF 0603","BottomLayer","0603","575.000","1665.000","180",""
"C5","C 10uF 0603","BottomLayer","0603","3670.000","410.000","90",""
"C4","C 100nF 0603","BottomLayer","0603","295.000","2000.000","270",""
"C3","C 10uF 0603","BottomLayer","0603","350.000","2000.000","270",""
"C2","C 100nF 0603","BottomLayer","0603","575.000","1730.000","180",""
"M8","TB67H451FNG,EL","BottomLayer","SOIC127P600X170_HS-9N","3280.000","1215.000","0",""
"Q1","IRLML0030TRPBF","TopLayer","INTR-SOT-23-3_V","2530.000","340.000","270","HEXFET(R) Power MOSFET, 1.3 W, 4.4 ns, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
"C7","C 100uF ALUM","TopLayer","PCAP_8x10-ELEC00","1390.000","2255.000","180",""
"C8","C 100uF ALUM","TopLayer","PCAP_8x10-ELEC00","1390.000","2625.000","180",""
"USER BUTTON","TactileButton","TopLayer","TactileButton-6x6mm","1190.000","3775.000","0",""
"T6","PDTC114YT","TopLayer","SOT-23","2590.000","3440.000","0",""
"T5","PDTC114YT","TopLayer","SOT-23","2740.000","3440.000","0",""
"Shutdown RPi","TactileButton","TopLayer","TactileButton-6x6mm","1190.000","3415.000","0",""
